ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (F),RELATIVE HUMIDITY (%),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
10.2173,-1.5407,0.0329,9.6265,-1.8157,-0.4515,0.5907,0.275,0.4844,0.0842,-0.0402,0.0416,0,-22.44,-33.05,24.76,146.89,10.67,-92.69,3.1,951.93,83.9,21,70.651,39.843685,-79.61497,1874.19,2020.286102,,90.9,35.48387,309.1,15 / 19,"$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E::$GPGGA,,,,,,0,,,,,,,,*66::$GPGSV,4,4,19,11,01,271,*44::$GPVTG,,T,,M,,N,,K,N*2C::$GLGSV,2,2,19,74,16,032,,65,73,099,*6F",11010008,2017-01-15 18:58:30:738
9.1249,-1.0959,0.5584,9.714,-0.9324,0.9696,-0.786,0.1638,-0.3106,0.0274,-0.0313,0.0389,0,-11.04,-34.01,30.22,138.19,5.46,-84.29,3.1,951.02,83.9,20.9,68.042,39.8442,-79.617386,1900,2020.286102,,75.6,32.258064,277.3,15 / 19,"$GPRMC,194830,A,3950.652109,N,07937.043095,W,40.8,277.3,150117,0.0,E,D*32::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.0,0.8,0.7*30::$GPGGA,194830,3950.652109,N,07937.043095,W,2,12,0.8,632.0,M,-43.0,M,,*75::$GPGSV,4,4,19,11,01,271,*44::$GPVTG,277.3,T,277.3,M,40.8,N,75.6,K,D*2E::$GLGSV,2,2,19,74,15,032,,65,73,101,*6C",11020007,2017-01-15 18:58:40:738
9.5906,-0.6452,0.0455,9.7457,-0.8547,0.6797,-0.1551,0.2094,-0.6342,0.0399,-0.0222,0.07,0,-8.55,-34.33,24.54,143.46,5.01,-85.97,3.1,952.26,83.8,21,69.835,39.844475,-79.61987,1883.87,2034.435125,,76.5,29.032257,279.1,15 / 19,"$GPRMC,194840,A,3950.668591,N,07937.192199,W,41.3,279.1,150117,0.0,E,D*3F::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.0,0.7,0.7*3F::$GPGGA,194840,3950.668591,N,07937.192199,W,2,12,0.7,627.0,M,-43.0,M,,*75::$GPGSV,4,4,19,32,63,060,32*42::$GPVTG,279.1,T,279.1,M,41.3,N,76.5,K,D*24::$GLGSV,2,2,19,74,15,032,,65,73,101,*6C",11030008,2017-01-15 18:58:50:739
9.7246,-0.7685,0.2687,9.7086,-1.27,0.5483,0.0161,0.5015,-0.2796,0.0387,0.0063,0.0648,0,-8.52,-31.92,27.14,141.03,7.47,-86.81,3.1,952.5,84,20.8,69.725,39.844753,-79.622375,1877.42,2034.435125,,82.8,32.258064,276.6,15 / 19,"$GPRMC,194850,A,3950.685172,N,07937.342428,W,44.7,276.6,150117,0.0,E,D*3D::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.0,0.7,0.7*3F::$GPGGA,194850,3950.685172,N,07937.342428,W,2,12,0.7,625.0,M,-43.0,M,,*7C::$GPGSV,4,4,19,32,63,060,33*43::$GPVTG,276.6,T,276.6,M,44.7,N,82.8,K,D*23::$GLGSV,2,2,19,74,15,032,,65,73,101,*6C",11040007,2017-01-15 18:59:00:738
9.8414,-0.8553,0.8146,9.7356,-0.8487,0.818,0.1058,-0.0066,-0.0033,0.0362,-0.0298,0.0621,0,-9.57,-32.51,26.73,140.41,4.98,-85.21,3.1,952.76,83.9,20.8,67.89,39.84501,-79.62499,1887.1,2016.552505,,79.2,29.032257,277,15 / 18,"$GPRMC,194901,A,3950.701602,N,07937.514822,W,42.3,277.0,150117,0.0,E,D*33::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.0,0.7,0.7*3F::$GPGGA,194901,3950.701602,N,07937.514822,W,2,12,0.7,628.0,M,-43.0,M,,*7A::$GPGSV,4,4,18,11,01,271,*45::$GPVTG,277.0,T,277.0,M,42.3,N,78.3,K,D*2F::$GLGSV,2,2,18,65,73,101,*5B",11050007,2017-01-15 18:59:10:738
9.3781,-1.4072,0.8805,9.6827,-1.2598,0.9106,-0.3046,-0.1473,-0.0301,0.0216,-0.0322,0.0584,0,-12.72,-33.57,29.78,137.58,7.35,-84.62,3.1,953.29,83.9,20.8,69.125,39.84525,-79.62755,1883.87,2016.552505,,70.2,29.032257,277,15 / 18,"$GPRMC,194911,A,3950.714885,N,07937.653081,W,37.9,277.0,150117,0.0,E,D*3E::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.3,1.0,0.8*35::$GPGGA,194911,3950.714885,N,07937.653081,W,2,12,1.0,627.0,M,-43.0,M,,*76::$GPGSV,4,4,18,11,01,271,*45::$GPVTG,277.0,T,277.0,M,37.9,N,70.2,K,D*2E::$GLGSV,2,2,18,65,73,101,*5B",11060008,2017-01-15 18:59:20:738
8.9429,-1.2701,0.7009,9.6934,-1.3018,0.717,-0.7504,0.0316,-0.0161,0.0255,-0.0503,0.0438,0,-5.74,-28.95,26.91,136.93,7.63,-85.77,3.1,952.71,83.9,20.8,69.203,39.845505,-79.62991,1887.1,2016.552505,,84.6,32.258064,279.5,15 / 18,"$GPRMC,194920,A,3950.730122,N,07937.794667,W,45.7,279.5,150117,0.0,E,D*3A::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.2,0.9,0.8*3C::$GPGGA,194920,3950.730122,N,07937.794667,W,2,12,0.9,628.0,M,-43.0,M,,*75::$GPGSV,4,4,18,11,01,271,*45::$GPVTG,279.5,T,279.5,M,45.7,N,84.6,K,D*2A::$GLGSV,2,2,18,65,73,101,*5B",11070007,2017-01-15 18:59:30:739
10.3328,-0.9996,1.7986,9.7606,-0.5823,0.7493,0.5721,-0.4173,1.0494,0.0307,-0.0063,0.0691,0,-11.23,-34.59,32.54,135.58,3.37,-85.67,3.1,953.12,83.9,20.8,69.198,39.84573,-79.632614,1900,2017.747176,,76.5,32.258064,278.5,15 / 18,"$GPRMC,194931,A,3950.743733,N,07937.956821,W,41.3,278.5,150117,0.0,E,D*35::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.2,0.9,0.8*3C::$GPGGA,194931,3950.743733,N,07937.956821,W,2,12,0.9,632.0,M,-43.0,M,,*70::$GPGSV,4,4,18,11,01,270,*44::$GPVTG,278.5,T,278.5,M,41.3,N,76.5,K,D*24::$GLGSV,2,2,18,65,73,101,*5B",11080008,2017-01-15 18:59:40:738
10.0329,-1.3042,0.5046,9.6251,-1.7621,0.6504,0.4078,0.4579,-0.1458,0.031,-0.0261,0.0651,0,-12.61,-33.99,32.4,134.55,10.39,-86.14,3.1,955.42,83.9,20.8,69.322,39.845997,-79.635,1870.97,2017.747176,,93.6,32.258064,279.3,15 / 18,"$GPRMC,194940,A,3950.759732,N,07938.100152,W,50.5,279.3,150117,0.0,E,D*31::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.2,0.9,0.8*3C::$GPGGA,194940,3950.759732,N,07938.100152,W,2,12,0.9,623.0,M,-43.0,M,,*75::$GPGSV,4,4,18,11,01,270,*44::$GPVTG,279.3,T,279.3,M,50.5,N,93.6,K,D*2A::$GLGSV,2,2,18,65,73,101,*5B",11090008,2017-01-15 18:59:50:738
10.8499,-1.8381,1.3066,9.6145,-1.6108,1.0661,1.2354,-0.2274,0.2405,0.0228,-0.0066,0.0682,0,5.02,-29.9,34.46,130.27,9.45,-83.67,3.1,954.75,83.9,20.8,71.642,39.84641,-79.638885,1854.84,1929.475281,,111.6,29.032257,279,15 / 18,"$GPRMC,194951,A,3950.784569,N,07938.333081,W,60.3,279.0,150117,0.0,E,D*36::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.2,0.9,0.8*3C::$GPGGA,194951,3950.784569,N,07938.333081,W,2,12,0.9,618.0,M,-43.0,M,,*7C::$GPGSV,4,4,18,11,01,270,*44::$GPVTG,279.0,T,279.0,M,60.3,N,111.6,K,D*14::$GLGSV,2,2,18,65,73,101,*5B",11100008,2017-01-15 19:00:00:739
