ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (F),RELATIVE HUMIDITY (%),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
9.9946,-1.3641,1.4736,9.6358,-1.4841,1.0578,0.3588,0.12,0.4158,0.0338,-0.0252,0.0804,0,7.91,12.93,24.58,57.13,8.72,-83.76,3.1,987.59,77.8,22.6,72.427,39.83668,-84.56577,890.32,1026.055946,,128.7,29.032257,266.6,10-Oct,"$GPRMC,000240,A,3950.200739,N,08433.946492,W,69.5,266.6,160117,0.0,E,D*3C::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.2,0.9,0.8*3E::$GPGGA,000240,3950.200739,N,08433.946492,W,2,13,0.9,307.0,M,-31.0,M,,*7D::$GPGSV,3,3,10,27,45,136,30,31,08,094,26*78::$GPVTG,266.6,T,266.6,M,69.5,N,128.7,K,D*10::$GLGSV,1,1,0,*79",26270008,2017-01-15 19:02:40:739
9.3595,-1.5341,0.8272,9.6413,-1.4188,1.0965,-0.2818,-0.1153,-0.2693,0.0356,-0.0234,0.0587,0,17.29,11.52,22.06,53.64,8.32,-83.51,3.1,987.13,77.6,22.6,72.222,39.836468,-84.56998,906.45,1056.293479,,130.5,32.258064,266.6,10-Oct,"$GPRMC,000250,A,3950.188037,N,08434.198766,W,70.5,266.6,160117,0.0,E,D*3B::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.2,0.9,0.8*3E::$GPGGA,000250,3950.188037,N,08434.198766,W,2,13,0.9,312.0,M,-31.0,M,,*76::$GPGSV,3,1,10,03,09,210,21,07,19,291,24,08,21,174,22,09,43,305,33*72::$GPVTG,266.6,T,266.6,M,70.5,N,130.5,K,D*13::$GLGSV,1,1,0,*79",26280007,2017-01-15 19:02:50:738
9.3925,-1.3641,0.5052,9.6917,-1.1736,0.9299,-0.2992,-0.1905,-0.4248,0.0387,-0.0386,0.0566,0,16.28,8.34,33.57,69.04,6.86,-84.49,3.1,987.04,77.6,22.8,73.947,39.83633,-84.5742,903.23,1056.293479,,129.6,35.48387,268.6,10-Oct,"$GPRMC,000300,A,3950.179945,N,08434.452007,W,70.0,268.6,160117,0.0,E,D*35::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.2,0.9,0.8*3E::$GPGGA,000300,3950.179945,N,08434.452007,W,2,13,0.9,311.0,M,-31.0,M,,*70::$GPGSV,3,1,10,03,09,210,14,07,19,291,20,08,21,174,25,09,43,305,33*77::$GPVTG,268.6,T,268.6,M,70.0,N,129.6,K,D*1D::$GLGSV,1,1,0,*79",26290008,2017-01-15 19:03:00:739
9.499,-1.3288,0.6734,9.6773,-1.2827,0.9357,-0.1783,-0.0461,-0.2623,0.0387,-0.0225,0.0581,0,15.32,11.25,30.43,65.57,7.52,-84.48,3.1,987.36,77.6,22.5,72.484,39.836254,-84.57838,906.45,1051.262284,,128.7,32.258064,268.7,10-Oct,"$GPRMC,000310,A,3950.175431,N,08434.702669,W,69.5,268.7,160117,0.0,E,D*32::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.2,0.9,0.8*3E::$GPGGA,000310,3950.175431,N,08434.702669,W,2,13,0.9,312.0,M,-31.0,M,,*78::$GPGSV,3,3,10,27,45,136,27,31,08,094,23*7B::$GPVTG,268.7,T,268.7,M,69.5,N,128.7,K,D*10::$GLGSV,1,1,0,*79",26300008,2017-01-15 19:03:10:739
9.9036,-1.0983,0.7679,9.6774,-1.292,0.9209,0.3782,-0.0212,-0.0601,0.0368,-0.0197,0.0685,0,8.72,10.02,33.43,71.26,7.58,-84.57,3.1,986.94,77.8,22.4,72.29,39.836193,-84.582565,906.45,1051.262284,,128.7,32.258064,269,10-Oct,"$GPRMC,000320,A,3950.171614,N,08434.953921,W,69.5,269.0,160117,0.0,E,D*3F::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.2,0.9,0.8*3E::$GPGGA,000320,3950.171614,N,08434.953921,W,2,13,0.9,312.0,M,-31.0,M,,*73::$GPGSV,3,3,10,27,45,136,27,31,08,094,22*7A::$GPVTG,269.0,T,269.0,M,69.5,N,128.7,K,D*10::$GLGSV,1,1,0,*79",26310007,2017-01-15 19:03:20:738
9.2733,-1.4299,1.2151,9.6577,-1.4083,0.9571,-0.3843,-0.0216,0.2579,0.0332,-0.0316,0.0719,0,11.2,11.41,32.13,66.58,8.26,-84.37,3.1,987.03,77.7,22.6,71.471,39.836143,-84.586754,912.9,1051.262284,,128.7,35.48387,268.9,10-Oct,"$GPRMC,000330,A,3950.168698,N,08435.204907,W,69.5,268.9,160117,0.0,E,D*36::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.2,0.9,0.8*3E::$GPGGA,000330,3950.168698,N,08435.204907,W,2,13,0.9,314.0,M,-31.0,M,,*74::$GPGSV,3,2,10,16,63,037,20,22,02,198,16,23,72,233,32,26,34,049,24*77::$GPVTG,268.9,T,268.9,M,69.5,N,128.7,K,D*10::$GLGSV,1,1,0,*79",26320007,2017-01-15 19:03:30:738
10.0497,-1.6472,0.9577,9.6575,-1.3479,1.0423,0.3922,-0.2993,-0.0846,0.0335,-0.0148,0.0743,0,10.95,10.24,26.58,65.3,7.9,-83.84,3.1,986.54,77.7,22.7,72.623,39.836105,-84.59091,916.13,1060.874921,,129.6,35.48387,268.8,10-Oct,"$GPRMC,000340,A,3950.166343,N,08435.454695,W,70.0,268.8,160117,0.0,E,D*37::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.3,1.0,0.8*37::$GPGGA,000340,3950.166343,N,08435.454695,W,2,13,1.0,315.0,M,-31.0,M,,*70::$GPGSV,3,3,10,31,08,094,22,07,19,291,*7A::$GPVTG,268.8,T,268.8,M,70.0,N,129.6,K,D*1D::$GLGSV,1,1,0,*79",26330008,2017-01-15 19:03:40:739
9.6235,-1.1043,1.3384,9.6594,-1.346,1.0271,-0.0359,0.2417,0.3113,0.0289,-0.0402,0.0609,0,13.16,10.38,28.46,65.46,7.89,-83.93,3.1,986.46,77.6,22.7,72.108,39.83603,-84.59514,922.58,1060.874921,,129.6,32.258064,268.9,10-Oct,"$GPRMC,000350,A,3950.161663,N,08435.708337,W,70.0,268.9,160117,0.0,E,D*30::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.3,1.0,0.8*37::$GPGGA,000350,3950.161663,N,08435.708337,W,2,13,1.0,317.0,M,-31.0,M,,*74::$GPGSV,3,3,10,31,08,094,20,07,19,291,*78::$GPVTG,268.9,T,268.9,M,70.0,N,129.6,K,D*1D::$GLGSV,1,1,0,*79",26340007,2017-01-15 19:03:50:738
9.7989,-1.7514,1.1779,9.6583,-1.3429,1.0415,0.1406,-0.4085,0.1365,0.035,-0.042,0.0609,0,13.86,9.87,35.84,70.21,7.87,-83.85,3.1,986.27,77.6,22.6,71.431,39.835995,-84.59928,929.03,1074.744299,,128.7,35.48387,269.1,10-Oct,"$GPRMC,000400,A,3950.159792,N,08435.956814,W,69.5,269.1,160117,0.0,E,D*3D::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.2,0.9,0.8*3E::$GPGGA,000400,3950.159792,N,08435.956814,W,2,13,0.9,319.0,M,-31.0,M,,*7B::$GPGSV,3,3,10,27,45,136,28,31,08,094,22*75::$GPVTG,269.1,T,269.1,M,69.5,N,128.7,K,D*10::$GLGSV,1,1,0,*79",26350008,2017-01-15 19:04:00:739
9.0704,-1.2845,0.9032,9.6739,-1.3455,0.8812,-0.6034,0.061,0.022,0.038,-0.0289,0.0569,0,11.26,10.76,31.31,68.69,7.88,-84.8,3.1,985.94,77.6,22.6,72.738,39.83592,-84.6035,941.94,1074.744299,,128.7,32.258064,269.2,10-Oct,"$GPRMC,000410,A,3950.155206,N,08436.210368,W,69.5,269.2,160117,0.0,E,D*31::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.3,1.0,0.8*37::$GPGGA,000410,3950.155206,N,08436.210368,W,2,13,1.0,323.0,M,-31.0,M,,*75::$GPGSV,3,3,10,31,08,094,21,07,19,291,*79::$GPVTG,269.2,T,269.2,M,69.5,N,128.7,K,D*10::$GLGSV,1,1,0,*79",26360007,2017-01-15 19:04:10:738
